mpid_twfy,mpid_grdn,mpname,mpparty,mpconstituency,constid_grdn,mpyearentered,percvote,winmajor,nextparty,nextpartyrank
24709,11797,Bridget Phillipson,Labour,Houghton and Sunderland South,1502,2010,50.3,10990,Liberal Democrat,400
11592,8730,Sharon Hodgson,Labour,Washington and Sunderland West,1540,2005,52.5,11458,Conservative,369
24710,12057,Julie Elliott,Labour,Sunderland Central,1534,2010,45.9,6725,Conservative,256
13814,10228,Naomi Long,Alliance,Belfast East,700,2010,37.2,1533,Ulster Unionist Party,9
13852,13154,Ian Paisley Jnr,DUP,North Antrim,1164,2010,46.4,12558,Social Democratic and Labour Party,8
10858,1422,Pat Doherty,Sinn Fein,West Tyrone,1430,2001,48.4,10685,Democratic Unionist Party,5
11003,7373,Kevan Jones,Labour,North Durham,890,2001,50.5,12076,Conservative,346
10626,5437,Steve Webb,Liberal Democrat,Thornbury and Yate,1537,1997,51.9,7116,Conservative,232
24711,13934,Jenny Chapman,Labour,Darlington,864,2010,39.4,3388,Conservative,266
10172,1427,Jeffrey M Donaldson,DUP,Lagan Valley,1063,1997,49.8,10486,Social Democratic and Labour Party,11
11323,6958,Hywel Williams,Plaid Cymru,Arfon,1472,2001,36,1455,Plaid Cymru,2
24713,12614,Chris Skidmore,Conservative,Kingswood,1058,2010,40.4,2445,Conservative,137
11461,5879,Charles Walker,Conservative,Broxbourne,771,2005,58.8,18804,Labour,189
24714,13393,Tom Greatrex,Labour,Rutherglen and Hamilton West,969,2010,60.8,21002,Scottish National Party,40
11892,7071,David Simpson,DUP,Upper Bann,1387,2005,33.8,3361,Ulster Unionist Party,3
24715,11713,Grahame Morris,Labour,Easington,897,2010,58.9,14982,Conservative,401
10527,4608,Adrian Sanders,Liberal Democrat,Torbay,1374,1997,47,4078,Conservative,57
11771,5881,Justine Greening,Conservative,Putney,1234,2005,52,10053,Labour,31
10958,12812,Lady Hermon,Independent,North Down,1169,2001,63.3,14364,Democratic Unionist Party,3
24716,12558,Jack Lopresti,Conservative,Filton and Bradley Stoke,1493,2010,40.8,6914,Labour,15
10517,4552,Frank Roy,Labour,Motherwell and Wishaw,1145,1997,61.1,16806,Conservative,296
13933,11171,Phil Wilson,Labour,Sedgefield,1274,2007,45.1,8696,Liberal Democrat,409
11148,6520,Albert Owen,Labour,Ynys Môn,1463,2001,33.4,2461,Plaid Cymru,3
10518,4556,Chris Ruane,Labour,Vale of Clwyd,1389,1997,42.3,2509,Conservative,142
24717,14005,Michael McCann,Labour,"East Kilbride, Strathaven and Lesmahagow",903,2010,51.5,14503,Liberal Democrat,175
10088,813,Menzies Campbell,Liberal Democrat,North East Fife,1173,1987,44.3,9048,Scottish Socialist Party,5
11558,8693,Roberta Blackman-Woods,Labour,City of Durham,825,2005,44.3,3067,Liberal Democrat,23
10068,644,Gordon Brown,Labour,Kirkcaldy and Cowdenbeath,1059,1983,64.5,23009,Conservative,275
24719,9329,Jane Ellison,Conservative,Battersea,696,2010,47.4,5977,Conservative,9
24720,11470,Susan Elan Jones,Labour,Clwyd South,831,2010,38.4,2834,Conservative,197
11692,8766,Nia Griffith,Labour,Llanelli,1098,2005,42.5,4701,Plaid Cymru,5
11036,6953,David Laws,Liberal Democrat,Yeovil,1462,2001,55.7,13036,Conservative,172
24721,8686,Chris Evans,Labour,Islwyn,1048,2010,49.2,12215,Conservative,282
10103,941,Christopher Chope,Conservative,Christchurch,821,1983,56.4,15410,Liberal Democrat,372
11374,5604,Sammy Wilson,DUP,East Antrim,898,2005,45.9,6770,Ulster Unionist Party,7
24723,13088,Fiona O'Donnell,Labour,East Lothian,905,2010,44.6,12258,Liberal Democrat,86
10285,2498,Jimmy Hood,Labour,Lanark and Hamilton East,835,1987,50,13478,Scottish National Party,7
10036,347,Stuart Bell,Labour,Middlesbrough,1128,1983,45.9,8689,Conservative,295
12004,7046,Angus MacNeil,Scottish National Party,Na h-Eileanan an Iar,1433,2005,45.7,1885,Labour,47
10115,978,Kenneth Clarke,Conservative,Rushcliffe,1264,1970,51.2,15811,Labour,121
11974,11711,Jim McGovern,Labour,Dundee West,887,2005,48.5,7278,Scottish National Party,3
14142,11232,Lindsay Roy,Labour,Glenrothes,800,2008,62.3,22139,Scottish National Party,29
11603,9240,Anne Milton,Conservative,Guildford,985,2005,53.3,7782,Liberal Democrat,1
11216,6109,Andrew Selous,Conservative,South West Bedfordshire,1310,2001,52.8,16649,Labour,97
24725,10406,Karen Bradley,Conservative,Staffordshire Moorlands,1329,2010,45.2,6689,Labour,26
11878,8847,Sadiq Khan,Labour,Tooting,1373,2005,43.5,2524,Conservative,119
11057,6518,Ian Lucas,Labour,Wrexham,1457,2001,36.9,3658,Conservative,196
10121,1009,Vernon Coaker,Labour,Gedling,955,1997,41.1,1859,Conservative,92
24726,13615,Cathy Jamieson,Labour,Kilmarnock and Loudoun,1054,2010,52.5,12378,Scottish National Party,8
11727,380,Richard Benyon,Conservative,Newbury,1151,2005,56.4,12248,Liberal Democrat,22
10194,1649,Michael Fallon,Conservative,Sevenoaks,1276,1983,56.8,17515,Labour,124
11402,9665,Alasdair McDonnell,Social Democratic and Labour Party,Belfast South,702,2005,41,5926,Democratic Unionist Party,1
11621,6091,Douglas Carswell,Conservative,Clacton,1485,2005,53,12068,Labour,41
11340,8392,David Wright,Labour,Telford,1364,2001,38.7,978,Conservative,147
11946,6164,Mark Pritchard,Conservative,The Wrekin,1368,2005,47.7,9450,Labour,23
24728,11358,Nick Smith,Labour,Blaenau Gwent,732,2010,52.4,10516,Labour,162
10116,982,Tom Clarke,Labour,"Coatbridge, Chryston and Bellshill",836,1982,66.6,20714,Conservative,355
10685,2809,Eric Joyce,Labour,Falkirk,936,2000,45.7,7843,Liberal Democrat,261
10065,578,Julian Brazier,Conservative,Canterbury,788,1987,44.8,6048,Labour,81
11312,7003,Michael Weir,Scottish National Party,Angus,674,2001,39.6,3282,Conservative,41
24729,9141,Gavin Williamson,Conservative,South Staffordshire,1306,2010,53.2,16590,UK Independence Party,1
24731,12007,Rebecca Harris,Conservative,Castle Point,799,2010,44,7632,Labour,95
24730,6427,Thomas Docherty,Labour,Dunfermline and West Fife,889,2010,46.3,5470,Scottish National Party,9
10061,552,Ben Bradshaw,Labour,Exeter,934,1997,38.2,2721,Liberal Democrat,89
11661,5964,Philip Hollobone,Conservative,Kettering,1053,2005,49.1,9094,Labour,4
24732,5959,Nicky Morgan,Conservative,Loughborough,1099,2010,41.6,3744,Conservative,37
11732,8781,Jessica Morden,Labour,Newport East,1160,2005,37,1650,Conservative,144
10190,1621,Nigel Evans,Conservative,Ribble Valley,1244,1992,50.3,14769,Labour,68
10707,6107,Richard Bacon,Conservative,South Norfolk,1303,2001,49.3,10940,Liberal Democrat,47
24736,8438,Guto Bebb,Conservative,Aberconwy,1471,2010,35.8,3398,Conservative,38
24737,11312,Pamela Nash,Labour,Airdrie and Shotts,668,2010,58.2,12408,Conservative,291
11421,8662,Helen Goodman,Labour,Bishop Auckland,726,2005,39,5218,Conservative,184
10175,1442,Stephen Dorrell,Conservative,Charnwood,805,1979,49.6,15029,Labour,105
24733,11480,Gregg McClymont,Labour,"Cumbernauld, Kilsyth and Kirkintilloch East",859,2010,57.2,13755,Liberal Democrat,334
11973,7016,Stewart Hosie,Scottish National Party,Dundee East,886,2005,37.8,1821,Labour,7
24734,11227,Margaret Curran,Labour,Glasgow East,959,2010,61.6,11840,Scottish Socialist Party,23
10610,5278,Derek Twigg,Labour,Halton,992,1997,57.7,15504,Liberal Democrat,396
11172,5943,Mark Prisk,Conservative,Hertford and Stortford,1018,2001,53.8,15437,Liberal Democrat,216
24735,13569,Graeme Morrice,Labour,Livingston,1097,2010,48.5,10791,Liberal Democrat,292
10661,48,Douglas Alexander,Labour,Paisley and Renfrewshire South,1214,1997,59.6,16614,Scottish National Party,14
11863,12063,Siân James,Labour,Swansea East,1356,2005,51.5,10838,Green Party,9
10141,1171,David Crausby,Labour,Bolton North East,737,1997,45.9,4084,Conservative,116
11489,6606,Mark Williams,Liberal Democrat,Ceredigion,803,2005,50,8324,Plaid Cymru,1
11265,5884,Hugo Swire,Conservative,East Devon,900,2001,48.3,9114,Liberal Democrat,117
24738,11773,Anas Sarwar,Labour,Glasgow Central,970,2010,52,10551,Scottish Socialist Party,1
24739,12643,Glyn Davies,Conservative,Montgomeryshire,1139,2010,41.3,1184,Conservative,224
24741,12618,Andrew Bridgen,Conservative,North West Leicestershire,1188,2010,44.6,7511,Conservative,91
24740,9392,Alun Cairns,Conservative,Vale of Glamorgan,1390,2010,41.8,4307,Conservative,31
10355,3095,Oliver Letwin,Conservative,West Dorset,1422,1997,47.6,3923,Liberal Democrat,14
11589,9668,Mark Durkan,Social Democratic and Labour Party,Foyle,947,2005,44.7,4824,Sinn Fein,1
10934,6412,David Hamilton,Labour,Midlothian,1130,2001,47,10349,Liberal Democrat,118
10361,3124,David Lidington,Conservative,Aylesbury,681,1992,52.2,12618,Liberal Democrat,120
11048,5797,Ian Liddell-Grainger,Conservative,Bridgwater and West Somerset,1480,2001,45.3,9249,Liberal Democrat,97
10842,6331,Wayne David,Labour,Caerphilly,780,2001,44.6,10755,Liberal Democrat,326
24743,12702,Jonathan Edwards,Plaid Cymru,Carmarthen East and Dinefwr,795,2010,35.6,3481,Labour,90
10228,1931,Cheryl Gillan,Conservative,Chesham and Amersham,813,1992,60.4,16710,Liberal Democrat,279
24744,9313,Damian Collins,Conservative,Folkestone and Hythe,945,2010,49.5,10122,Liberal Democrat,208
24748,9253,Andrew Bingham,Conservative,High Peak,1022,2010,40.9,4677,Conservative,36
10314,2733,Alan Johnson,Labour,Kingston upon Hull West and Hessle,1037,1997,42.5,5742,Conservative,229
10128,1068,Michael Connarty,Labour,Linlithgow and East Falkirk,1088,1992,49.8,12553,Scottish National Party,16
24745,12737,Marcus Jones,Conservative,Nuneaton,1201,2010,41.5,2069,Conservative,94
11221,11846,Jim Sheridan,Labour,Paisley and Renfrewshire North,1213,2001,54,15280,Liberal Democrat,111
24749,9260,Stephen Metcalfe,Conservative,South Basildon and East Thurrock,1473,2010,43.9,5772,Conservative,17
10388,3829,Anne McGuire,Labour,Stirling,1333,1997,41.8,8354,Conservative,103
24742,12051,Alex Cunningham,Labour,Stockton North,1335,2010,42.9,6676,Liberal Democrat,237
24747,12777,Christopher Pincher,Conservative,Tamworth,1359,2010,45.8,6090,Conservative,56
11443,5790,Brooks Newmark,Conservative,Braintree,751,2005,52.6,16121,Labour,110
24750,12094,Stephen Mosley,Conservative,City of Chester,824,2010,40.6,2583,Conservative,19
11076,7375,Ann McKechin,Labour,Glasgow North,966,2001,44.5,3898,Liberal Democrat,39
11626,12586,Michael Penning,Conservative,Hemel Hempstead,1011,2005,50,13406,Labour,3
10106,955,James Clappison,Conservative,Hertsmere,1019,1992,56,17605,Labour,167
10008,61,Graham Allen,Labour,Nottingham North,1199,1987,48.6,8138,Liberal Democrat,305
11347,6324,Huw Irranca-Davies,Labour,Ogmore,1203,2002,53.8,13246,Plaid Cymru,12
11333,12799,Pete Wishart,Scottish National Party,Perth and North Perthshire,1219,2001,39.6,4379,Conservative,30
10269,2337,David Heath,Liberal Democrat,Somerton and Frome,1292,1997,47.5,1817,Conservative,12
10679,3482,William McCrea,DUP,South Antrim,1293,1983,33.9,1183,Ulster Unionist Party,2
10159,12064,Geraint Davies,Labour,Swansea West,1357,1997,34.7,504,Liberal Democrat,44
10368,3177,Elfyn Llwyd,Plaid Cymru,Dwyfor Meirionnydd,1490,1992,44.3,6367,Liberal Democrat,263
11599,9236,Adam Holloway,Conservative,Gravesham,978,2005,48.5,9312,Labour,12
11534,8703,Natascha Engel,Labour,North East Derbyshire,1172,2005,38.2,2445,Liberal Democrat,135
10415,3369,Gordon Marsden,Labour,Blackpool South,731,1997,41.1,1851,Conservative,176
10453,3796,Jim Murphy,Labour,East Renfrewshire,910,1997,50.8,10420,Conservative,139
10193,1642,Michael Fabricant,Conservative,Lichfield,1085,1992,54.4,17683,Labour,83
24754,6542,Stephen Lloyd,Liberal Democrat,Eastbourne,908,2010,47.3,3435,Liberal Democrat,7
11565,11418,Christopher Huhne,Liberal Democrat,Eastleigh,909,2005,46.5,3864,Conservative,11
24762,6459,Michael Dugher,Labour,Barnsley East,687,2010,47,11090,Conservative,394
11406,10949,Graham Stuart,Conservative,Beverley and Holderness,708,2005,47.1,12987,Labour,35
24756,12772,Daniel Poulter,Conservative,Central Suffolk and North Ipswich,802,2010,50.8,13786,Labour,78
10202,1753,Caroline Flint,Labour,Don Valley,874,1997,37.9,3595,Conservative,304
11026,5888,Greg Knight,Conservative,East Yorkshire,1465,1983,47.5,13486,Labour,61
24763,11717,Sheila Gilmore,Labour,Edinburgh East,915,2010,43.4,9181,Liberal Democrat,76
24757,9163,Jessica Lee,Conservative,Erewash,929,2010,39.5,2501,Conservative,154
10157,1286,Ian Davidson,Labour,Glasgow South West,967,1992,62.5,14671,Scottish Socialist Party,8
24758,5931,Andrew Jones,Conservative,Harrogate and Knaresborough,1002,2010,45.7,1039,Conservative,160
11362,8508,Iain Wright,Labour,Hartlepool,1005,2004,42.5,5509,Liberal Democrat,144
10944,6408,Dai Havard,Labour,Merthyr Tydfil and Rhymney,1119,2001,43.7,4056,Conservative,292
10203,1760,Paul Flynn,Labour,Newport West,1161,1987,41.3,3544,Conservative,149
24759,12747,Andrew Stephenson,Conservative,Pendle,1217,2010,38.9,3585,Conservative,49
24760,9300,Jeremy Lefroy,Conservative,Stafford,1328,2010,43.9,5460,Conservative,40
24761,12784,Sarah Wollaston,Conservative,Totnes,1377,2010,45.9,4927,Liberal Democrat,20
10834,6516,Tony Cunningham,Labour,Workington,1453,2001,45.5,4575,Conservative,228
11668,9272,Ben Wallace,Conservative,Wyre and Preston North,1545,2005,52.4,15844,Labour,182
10713,11517,Gregory Barker,Conservative,Bexhill and Battle,709,2001,51.6,12880,Labour,180
24764,9391,Paul Maynard,Conservative,Blackpool North and Cleveleys,1477,2010,41.8,2150,Conservative,79
11224,5786,Mark Simmonds,Conservative,Boston and Skegness,742,2001,49.5,12426,Labour,65
10602,5231,David Tredinnick,Conservative,Bosworth,743,1987,42.6,5032,Labour,49
24765,9142,Phillip Lee,Conservative,Bracknell,747,2010,52.4,15704,Labour,131
10431,3610,Alun Michael,Labour,Cardiff South and Penarth,791,1987,38.9,4710,Liberal Democrat,133
10670,3941,Stephen O'Brien,Conservative,Eddisbury,912,1999,51.7,13255,Labour,66
24766,9257,Nicholas Boles,Conservative,Grantham and Stamford,977,2010,50.3,14826,Labour,75
24767,11798,Karl Turner,Labour,Kingston upon Hull East,1034,2010,47.9,8597,Conservative,349
10292,2543,George Howarth,Labour,Knowsley,1504,1986,70.9,25686,Conservative,403
10213,1798,Liam Fox,Conservative,North Somerset,1530,1992,49.3,7862,Liberal Democrat,38
10217,1857,Roger Gale,Conservative,North Thanet,1183,1983,52.7,13528,Labour,70
24769,5850,Heather Wheeler,Conservative,South Derbyshire,1295,2010,45.5,7128,Conservative,53
24770,9148,Kwasi Kwarteng,Conservative,Spelthorne,1323,2010,47.1,10019,Labour,139
24771,9417,Therese Coffey,Conservative,Suffolk Coastal,1349,2010,46.4,9128,Liberal Democrat,106
11869,9078,Jeremy Browne,Liberal Democrat,Taunton Deane,1535,2005,49.1,3993,Conservative,29
11924,6182,John Penrose,Conservative,Weston-Super-Mare,1436,2005,44.3,2691,Liberal Democrat,12
24772,9228,Anna Soubry,Conservative,Broxtowe,772,2010,39,389,Conservative,42
10079,748,Simon Burns,Conservative,Chelmsford,808,1987,46.2,5110,Liberal Democrat,31
10941,6371,Tom Harris,Labour,Glasgow South,960,2001,51.7,12658,Conservative,205
10096,886,Martin Caton,Labour,Gower,975,1997,38.4,2683,Conservative,167
10274,2370,Stephen Hepburn,Labour,Jarrow,1049,1997,53.9,12908,Liberal Democrat,474
11113,8431,David Miliband,Labour,South Shields,1305,2001,52,11109,Conservative,306
11859,9358,Jeremy Hunt,Conservative,South West Surrey,1315,2005,58.7,16318,Liberal Democrat,37
24773,12773,Matthew Hancock,Conservative,West Suffolk,1429,2010,50.6,13050,Labour,115
10777,6188,David Cameron,Conservative,Witney,1444,2001,58.8,22740,Labour,100
10387,3828,Martin McGuinness,Sinn Fein,Mid Ulster,1126,1997,52,15363,Democratic Unionist Party,6
11189,7052,Angus Robertson,Scottish National Party,Moray,1140,2001,39.7,5590,Liberal Democrat,35
11804,9348,Robert Goodwill,Conservative,Scarborough and Whitby,1272,2005,42.8,8130,Labour,21
10349,3010,Andrew Lansley,Conservative,South Cambridgeshire,1294,1997,47.4,7838,Liberal Democrat,107
13864,12809,Jim Shannon,DUP,Strangford,1342,2010,45.9,5876,Alliance Party of Northern Ireland,5
11115,6134,Andrew Mitchell,Conservative,Sutton Coldfield,1354,1987,54,17005,Labour,173
10637,5542,David Willetts,Conservative,Havant,1008,1992,51.1,12160,Labour,74
11397,10380,Nadine Dorries,Conservative,Mid Bedfordshire,1120,2005,52.5,15152,Labour,85
24774,11842,Lilian Greenwood,Labour,Nottingham South,1200,2010,37.3,1772,Liberal Democrat,96
10900,6299,Hywel Francis,Labour,Aberavon,664,2001,51.9,11039,Conservative,278
11267,7383,Mark Tami,Labour,Alyn and Deeside,672,2001,39.6,2919,Conservative,234
24775,8667,Yasmin Qureshi,Labour,Bolton South East,738,2010,47.4,8634,Liberal Democrat,297
11450,8669,Madeleine Moon,Labour,Bridgend,758,2005,36.3,2263,Liberal Democrat,82
10259,2192,David Hanson,Labour,Delyn,868,1992,40.8,2272,Conservative,193
11545,8711,Edward Miliband,Labour,Doncaster North,876,2005,55.5,2554,Liberal Democrat,238
24777,12358,Charlie Elphicke,Conservative,Dover,877,2010,44,5274,Conservative,98
10153,1271,Alistair Darling,Labour,Edinburgh South West,918,1987,42.8,8447,Liberal Democrat,55
11291,5261,Andrew Turner,Conservative,Isle of Wight,1045,2001,46.7,10527,Liberal Democrat,119
10022,199,Norman Baker,Liberal Democrat,Lewes,1078,1997,52,7647,Conservative,166
10252,2131,Peter Hain,Labour,Neath,1146,1991,46.3,9775,Conservative,247
10761,6444,Chris Bryant,Labour,Rhondda,1243,2001,55.3,11553,Conservative,387
13856,13977,Margaret Ritchie,Social Democratic and Labour Party,South Down,1297,2010,48.5,8412,Sinn Fein,5
24778,9319,Priti Patel,Conservative,Witham,1543,2010,52.2,15196,Labour,88
10684,4460,John Robertson,Labour,Glasgow North West,958,2000,54.1,13611,Scottish Socialist Party,6
10358,3110,Julian Lewis,Conservative,New Forest East,1148,1997,52.9,11307,Liberal Democrat,85
24779,12781,Neil Parish,Conservative,Tiverton and Honiton,1371,2010,50.3,9320,Liberal Democrat,104
11506,5830,David Jones,Conservative,Clwyd West,833,2005,41.5,6419,Labour,2
10027,262,Kevin Barron,Labour,Rother Valley,1258,1983,41,5866,Liberal Democrat,303
24780,5889,Conor Burns,Conservative,Bournemouth West,745,2010,45.2,5583,Liberal Democrat,25
11324,6573,Roger Williams,Liberal Democrat,Brecon and Radnorshire,752,2001,46.2,3747,Conservative,96
11480,6599,Jennifer Willott,Liberal Democrat,Cardiff Central,789,2005,41.4,4576,Labour,72
10648,5627,Rosie Winterton,Labour,Doncaster Central,875,1997,39.7,6229,Conservative,249
11971,6756,Jo Swinson,Liberal Democrat,East Dunbartonshire,1344,2005,38.7,2184,Labour,42
24782,9375,Damian Hinds,Conservative,East Hampshire,902,2010,56.8,13497,Liberal Democrat,45
11038,11032,Mark Lazarowicz,Labour,Edinburgh North and Leith,917,2001,37.5,1724,Liberal Democrat,17
24697,11774,William Bain,Labour,Glasgow North East,971,2009,68.4,15942,Scottish National Party,45
24784,5930,Robert Halfon,Conservative,Harlow,1000,2010,44.9,4925,Conservative,5
14131,11196,John Howell,Conservative,Henley,1016,2008,56.2,16588,Liberal Democrat,266
10583,5094,Peter Tapsell,Conservative,Louth and Horncastle,1100,1959,49.6,13871,Liberal Democrat,130
10257,2167,Philip Hammond,Conservative,Runnymede and Weybridge,1263,1997,55.9,16509,Liberal Democrat,235
24785,9370,Harriett Baldwin,Conservative,West Worcestershire,1431,2010,50.3,6754,Liberal Democrat,21
24786,12553,Steven Baker,Conservative,Wycombe,1458,2010,48.6,9560,Labour,89
24787,9131,Richard Fuller,Conservative,Bedford,699,2010,38.9,1353,Conservative,71
24788,11355,Shabana Mahmood,Labour,"Birmingham, Ladywood",718,2010,55.7,10105,Liberal Democrat,188
11437,6194,Tobias Ellwood,Conservative,Bournemouth East,744,2005,48.4,7728,Liberal Democrat,58
14128,11185,Edward Timpson,Conservative,Crewe and Nantwich,852,2008,45.9,6046,Conservative,151
24789,12774,Sam Gyimah,Conservative,East Surrey,906,2010,56.8,16874,Liberal Democrat,392
24790,9282,Karl McCartney,Conservative,Lincoln,1086,2010,37.5,1058,Conservative,90
